Strain,1,2,3,4,5,6,7,8,9,10
HCD01,1,79,10,29,113,389,225,280,282,310
HCD02,8,21,61,153,167,180,118,109,281,334
HCD03,1,1,5,29,25,21,209,35,315,457
HCD04,1,39,160,17,222,13,51,173,131,175
HCD05,1,5,13,69,85,27,189,309,441,476
HCD06,1,83,81,151,205,34,105,206,355,209
HVK01,1,1,9,21,21,21,37,43,84,144
HVK02,1,35,72,87,161,55,17,25,90,206
HVK03,1,1,10,2,1,69,193,245,216,123
HVK04,5,52,98,99,57,36,25,113,248,245
HVK05,7,53,27,105,161,170,139,141,322,319
LVK01,1,1,11,1,20,1,11,93,245,284
LVK02,7,14,38,53,71,79,39,25,107,165
LVK03,1,9,10,33,198,39,258,193,164,343
LVK04,1,93,35,5,331,213,119,167,255,365
LVK05,1,121,77,161,195,33,85,136,285,326
LVK06,1,107,81,155,251,180,203,429,421,241
Normal01,1,11,15,111,173,95,213,214,253,267
Normal02,5,56,21,93,241,225,99,258,399,342
Normal03,17,1,57,81,79,15,123,248,314,237
